"","Time","TMPM","Rain","LF","VP","Sat_def","Rad_Int","GlobRad","Wind","TMPMN","TMPMX"
"132",34466,14.5,0,59.5,9.7,6.7,255.7,22.09,3.7,6.9,20.3
"133",34467,15.3,0,71.6,12.3,4.9,236,20.39,3.9,8.2,21
"134",34468,17.5,0,62.9,12.5,7.4,265.8,22.96,3.6,8.2,23.3
"135",34469,14.2,0,78.8,12.7,3.4,108.4,9.37,4.1,13,18.1
"136",34470,15.6,1,73.4,12.9,4.7,232.3,20.07,2.6,10,21.5
"137",34471,15.4,0,74.2,12.9,4.5,262,22.63,3,12,21.9
"138",34472,17.2,0.5,66.5,12.9,6.5,228.8,19.77,1.4,8.2,22
"139",34473,9.8,9.7,93,11.2,0.9,66.8,5.77,3.4,8.2,16
"140",34474,11.4,0,79.2,10.6,2.8,197.4,17.05,2.4,7.6,16.4
"141",34475,12.7,4.8,80,11.7,2.9,166.9,14.42,3.5,5.8,17
"142",34476,14.9,9.1,76.7,12.9,4,225.9,19.52,2.7,11.3,18.4
"143",34477,14.2,0,82.2,13.2,2.9,139.6,12.06,2,10.7,18.4
"144",34478,16,0.8,73.7,13.4,4.8,236.7,20.45,1.3,9.2,20.2
"145",34479,15.1,5.4,89.9,15.4,1.7,133.2,11.51,1.6,13.1,19.6
"146",34480,13,0,77.7,11.6,3.3,119.8,10.35,2.4,10.3,16.5
"147",34481,10.9,0.9,76,9.9,3.1,144.3,12.47,2.2,7,14.8
"148",34482,12.1,0.2,67.8,9.6,4.5,237.9,20.56,1.4,6.1,17.4
"149",34483,9.7,0.3,74.1,8.9,3.1,162.9,14.07,2.5,7.2,14
"150",34484,10.5,0,62.9,8,4.7,287.8,24.87,3.2,4.4,15.7
"151",34485,13.2,0,59.8,9,6.1,232.8,20.11,3.9,3.1,17.4
"152",34486,17,0,56.4,10.9,8.5,314,27.13,2.4,7.8,22.9
"153",34487,17.7,14.4,73.8,14.8,5.3,92.3,7.97,2.2,11.5,22.2
"154",34488,15.4,0.8,73.4,12.8,4.6,201.7,17.42,4.5,12.3,19.9
"155",34489,11.7,5.1,77.5,10.6,3.1,158.8,13.72,4.4,9.9,16
"156",34490,10,4.5,83.6,10.2,2,167.7,14.49,3.2,8.3,14.6
"157",34491,13.8,0.3,66.6,10.5,5.2,272.8,23.57,3.4,5.5,18.2
"158",34492,14.9,0.7,87.9,14.8,2.1,94,8.12,3.7,12.4,17.1
"159",34493,16.2,17,74.8,13.7,4.6,202.9,17.53,2.9,13.4,20.4
"160",34494,11.2,0.5,75.5,10,3.3,227.7,19.67,3.9,7.9,15.9
"161",34495,11.6,7.7,81.1,11,2.6,203.5,17.58,2.9,8.6,15.8
"162",34496,12.3,0,77.3,11,3.3,210.5,18.19,1.7,8.7,17.5
"163",34497,14.4,0,69.3,11.3,5.1,270.3,23.35,1.9,6.9,20.6
"164",34498,13.8,0,80.9,12.7,3,86.3,7.45,2.8,9.1,16.2
"165",34499,15.5,0,66.9,11.8,5.8,295.3,25.52,3.3,10.7,21.9
"166",34500,13,1,64.7,9.6,5.3,264.5,22.86,3.4,6.4,16.8
"167",34501,10.2,4.6,85.4,10.6,1.8,107.2,9.27,3.5,8.6,13.4
"168",34502,11.5,0,66.9,9,4.5,285.3,24.65,2.6,5.4,16
"169",34503,15.6,0,73.7,13,4.7,82.7,7.15,2.9,7.9,19.9
"170",34504,16.9,0,71.5,13.7,5.5,233.3,20.15,4.5,12.5,20.3
"171",34505,17.3,0,70.7,13.9,5.7,227.8,19.68,2.4,13.7,21.4
"172",34506,17.3,1.9,76.4,15,4.6,179.5,15.51,3.2,14.8,21.2
"173",34507,17,0,67.6,13.1,6.3,180.1,15.56,6.3,14.9,21.5
"174",34508,14,0,57,9.1,6.9,328.3,28.37,4.2,9.7,19.1
"175",34509,15.8,0,50.9,9.1,8.8,333.2,28.79,1.7,4.5,21.9
"176",34510,22.8,0,49.7,13.7,13.9,333.6,28.82,3.4,10.6,29.6
"177",34511,21.9,0,72,18.8,7.4,262.2,22.66,1.8,17,26.8
"178",34512,21.8,0,60.3,15.6,10.4,277.9,24.01,1.7,16.9,27.6
"179",34513,23.7,0,60.8,17.6,11.6,304.6,26.32,2.2,14.3,29.9
"180",34514,22.8,0,64.9,17.9,9.7,275.2,23.78,3.7,18.8,30.8
"181",34515,17.2,0,59.5,11.6,7.9,321.7,27.79,2.2,10.7,22.5
"182",34516,18.5,0,61.9,13,8.2,307.1,26.53,1.6,9.2,24.6
"183",34517,21.7,0,52.8,13.5,12.3,324.7,28.06,2.6,11.3,28
"184",34518,25.2,0,50.4,16,15.9,310.9,26.86,2,14,32.2
"185",34519,23.1,16.2,64.3,18,10,254.7,22,3.1,16.5,33
"186",34520,20.5,0,75.8,18.2,5.9,250.3,21.62,2.5,16.9,25.4
"187",34521,19.6,0,67.6,15.3,7.4,235.2,20.32,1.9,15.5,24.5
"188",34522,14.3,20.1,86.8,14.1,2.2,92.9,8.03,2.2,13,18.9
"189",34523,16.5,1.1,84.3,15.7,2.9,152.5,13.18,3.8,12.8,20.6
"190",34524,16.5,0,77.6,14.5,4.2,200.6,17.33,2.9,13.8,20.7
"191",34525,19.3,0,67.5,15,7.3,318.5,27.52,0.8,10,25.4
"192",34526,22.2,0,61.4,16.3,10.4,322.1,27.83,1.8,12.7,28.5
"193",34527,24.1,0,57,16.8,13,321.5,27.78,2.5,14.5,30.2
"194",34528,24.4,0,57.8,17.5,12.9,314,27.13,2.8,17.2,31
"195",34529,23.6,1.8,61.7,17.9,11.2,255.7,22.09,2.2,16.8,31.3
"196",34530,20.7,0,71.4,17.4,7,233.7,20.19,2.1,18.2,25.8
"197",34531,20.3,0,64.8,15.3,8.4,270.8,23.4,1.5,11.7,26.4
"198",34532,19.4,0,66.8,15,7.5,176,15.2,2.4,15.1,24
"199",34533,18.9,0,61.1,13.2,8.5,244.3,21.11,2.7,13.9,24.1
